count,time
106,1
106,2
107,3
107,4
109,5
110,6
110,7
110,8
111,9
112,10
112,11
111,12
112,13
113,14
112,15
114,16
114,17
114,18
115,19
115,20
116,21
115,22
116,23
115,24
115,25
116,26
117,27
118,28
118,29
118,30
119,31
117,32
116,33
115,34
117,35
116,36
116,37
114,38
114,39
113,40
113,41
114,42
113,43
113,44
112,45
109,46
107,47
107,48
108,49
107,50
106,51
106,52
103,53
105,54
105,55
104,56
103,57
100,58
100,59
99,60
99,61
101,62
103,63
103,64
103,65
103,66
101,67
102,68
104,69
105,70
104,71
103,72
103,73
102,74
102,75
101,76
100,77
104,78
104,79
105,80
106,81
106,82
106,83
107,84
106,85
106,86
107,87
107,88
108,89
107,90
105,91
105,92
107,93
107,94
107,95
108,96
108,97
108,98
108,99
110,100
111,101
112,102
113,103
111,104
112,105
111,106
111,107
113,108
113,109
114,110
114,111
115,112
117,113
116,114
116,115
117,116
117,117
117,118
115,119
115,120
115,121
116,122
117,123
117,124
116,125
115,126
115,127
116,128
118,129
119,130
118,131
118,132
117,133
118,134
121,135
120,136
120,137
122,138
123,139
123,140
123,141
122,142
122,143
121,144
122,145
123,146
123,147
122,148
122,149
121,150
121,151
122,152
124,153
124,154
125,155
124,156
124,157
126,158
126,159
124,160
123,161
124,162
126,163
127,164
126,165
125,166
124,167
123,168
123,169
124,170
127,171
126,172
125,173
124,174
125,175
125,176
126,177
126,178
126,179
127,180
129,181
129,182
130,183
131,184
130,185
131,186
129,187
127,188
124,189
126,190
128,191
129,192
130,193
132,194
131,195
132,196
132,197
131,198
133,199
133,200
134,201
133,202
132,203
133,204
132,205
132,206
130,207
130,208
128,209
129,210
128,211
127,212
128,213
130,214
132,215
129,216
130,217
130,218
132,219
135,220
137,221
138,222
138,223
140,224
140,225
141,226
140,227
139,228
140,229
141,230
141,231
138,232
137,233
137,234
137,235
135,236
131,237
131,238
129,239
128,240
130,241
130,242
131,243
133,244
133,245
134,246
136,247
136,248
136,249
137,250
136,251
136,252
136,253
137,254
138,255
139,256
136,257
134,258
134,259
134,260
134,261
134,262
135,263
135,264
135,265
132,266
132,267
131,268
131,269
130,270
132,271
131,272
131,273
130,274
127,275
129,276
129,277
130,278
131,279
130,280
130,281
129,282
128,283
127,284
128,285
129,286
127,287
127,288
128,289
128,290
129,291
131,292
132,293
133,294
131,295
131,296
130,297
130,298
132,299
131,300
130,301
134,302
134,303
135,304
134,305
135,306
134,307
135,308
136,309
135,310
138,311
137,312
135,313
135,314
136,315
137,316
137,317
136,318
134,319
134,320
135,321
135,322
135,323
134,324
133,325
135,326
135,327
136,328
135,329
135,330
134,331
136,332
136,333
135,334
134,335
133,336
133,337
131,338
131,339
131,340
132,341
132,342
130,343
131,344
131,345
132,346
133,347
133,348
133,349
132,350
132,351
132,352
133,353
134,354
134,355
133,356
133,357
131,358
131,359
131,360
133,361
133,362
132,363
133,364
134,365
134,366
134,367
133,368
134,369
132,370
133,371
132,372
134,373
133,374
133,375
133,376
132,377
132,378
130,379
129,380
128,381
129,382
129,383
130,384
130,385
130,386
130,387
131,388
131,389
131,390
129,391
129,392
128,393
128,394
129,395
130,396
130,397
130,398
131,399
131,400
131,401
132,402
133,403
133,404
132,405
133,406
134,407
134,408
134,409
133,410
132,411
131,412
131,413
131,414
130,415
126,416
126,417
125,418
124,419
125,420
123,421
124,422
124,423
122,424
121,425
118,426
119,427
121,428
122,429
121,430
120,431
119,432
118,433
117,434
118,435
117,436
116,437
116,438
113,439
116,440
116,441
117,442
118,443
120,444
120,445
120,446
122,447
123,448
122,449
122,450
121,451
119,452
120,453
120,454
119,455
121,456
121,457
120,458
119,459
119,460
120,461
120,462
120,463
122,464
125,465
125,466
125,467
124,468
123,469
124,470
123,471
123,472
124,473
122,474
121,475
122,476
121,477
121,478
122,479
122,480
124,481
125,482
126,483
127,484
127,485
125,486
126,487
127,488
126,489
125,490
